City,Current Value,Predicted Value,Net Profit,ROI
San Francisco,"1,084,300","1,153,583","69,283",6%
Riverside,"599,000","625,456","26,456",4%
San Diego,"949,000","901,431","-47,569",-5%
Sacramento,"621,333","645,769","24,436",3%
San Jose,"1,545,315","1,536,963","-8,352",0%
Fresno,"453,333","480,193","26,860",5%
Bakersfield,"383,300","392,455","9,155",2%
Oxnard,"992,000","1,002,209","10,209",1%
Stockton,"566,667","592,283","25,616",4%
Modesto,"508,316","487,614","-20,702",-4%
Santa Rosa,"963,000","985,036","22,036",2%
Visalia,"394,633","399,789","5,156",1%
Vallejo,"596,000","599,833","3,833",0%
Santa Maria,"1,694,667","1,495,527","-199,140",-11%
Salinas,"1,185,750","1,102,041","-83,709",-7%
San Luis Obispo,"1,023,817","1,033,612","9,795",0%
Merced,"449,650","456,708","7,058",1%
Santa Cruz,"1,263,000","1,319,862","56,862",4%
Chico,"417,054","416,812",-242,0%
Redding,"404,833","393,555","-11,278",-2%
El Centro,"352,333","327,693","-24,640",-6%
Yuba City,"466,315","476,581","10,266",2%
Madera,"499,667","496,338","-3,328",0%
Hanford,"360,917","364,058","3,141",0%
Napa,"1,353,167","1,209,346","-143,821",-10%
